# time [s]	phi_1 [rad]	phi_2 [rad]
1.800000000000000044e+00	8.754470265154654096e-02	1.063362532480835121e+00
1.840000000000000080e+00	9.089124872535785105e-02	1.059362808588336868e+00
1.879999999999999893e+00	9.424434725583125116e-02	1.055330547412873576e+00
1.919999999999999929e+00	9.760410391260337937e-02	1.051265460446157318e+00
1.959999999999999964e+00	1.009706271084441775e-01	1.047167251589444348e+00
2.000000000000000000e+00	1.043440280809762866e-01	1.043035616907146856e+00
2.040000000000000036e+00	1.077244209779079503e-01	1.038870244370078577e+00
2.080000000000000071e+00	1.111119229459642116e-01	1.034670813587794669e+00
2.120000000000000107e+00	1.145066542237126034e-01	1.030436995529438349e+00
2.160000000000000142e+00	1.179087382384882837e-01	1.026168452232495421e+00
2.200000000000000178e+00	1.213183017076396308e-01	1.021864836498790119e+00
2.240000000000000213e+00	1.247354747443291667e-01	1.017525791577043037e+00
2.279999999999999805e+00	1.281603909681384157e-01	1.013150950831238184e+00
2.319999999999999840e+00	1.315931876207434570e-01	1.008739937394021347e+00
2.359999999999999876e+00	1.350340056869428207e-01	1.004292363804289989e+00
2.399999999999999911e+00	1.384829900213425113e-01	9.998078316280670785e-01
2.439999999999999947e+00	1.419402894810171678e-01	9.952859310617243604e-01
2.479999999999999982e+00	1.454060570644972461e-01	9.907262405165078167e-01
2.520000000000000018e+00	1.488804500574445189e-01	9.861283261832934910e-01
2.560000000000000053e+00	1.523636301854153774e-01	9.814917415763908526e-01
2.600000000000000089e+00	1.558557637741290747e-01	9.768160270551571323e-01
2.640000000000000124e+00	1.593570219176959901e-01	9.721007093220661588e-01
2.680000000000000160e+00	1.628675806552896399e-01	9.673453008958063926e-01
2.720000000000000195e+00	1.663876211567808239e-01	9.625492995578589506e-01
2.759999999999999787e+00	1.699173299178906860e-01	9.577121877709134923e-01
2.799999999999999822e+00	1.734568989654668159e-01	9.528334320673170765e-01
2.839999999999999858e+00	1.770065260735211587e-01	9.479124824056728293e-01
2.879999999999999893e+00	1.805664149907286742e-01	9.429487714935018694e-01
2.919999999999999929e+00	1.841367756801269850e-01	9.379417140737749126e-01
2.959999999999999964e+00	1.877178245718323646e-01	9.328907061728941574e-01
3.000000000000000000e+00	1.913097848296302916e-01	9.277951243075700516e-01
3.040000000000000036e+00	1.949128866323883991e-01	9.226543246477821869e-01
3.080000000000000071e+00	1.985273674713014247e-01	9.174676421328222808e-01
3.120000000000000107e+00	2.021534724640672576e-01	9.122343895371545219e-01
3.160000000000000142e+00	2.057914546871857375e-01	9.069538564825491145e-01
3.200000000000000178e+00	2.094415755276662350e-01	9.016253083926714096e-01
3.240000000000000213e+00	2.131041050555456395e-01	8.962479853859512957e-01
3.279999999999999805e+00	2.167793224187362366e-01	8.908211011022253434e-01
3.319999999999999840e+00	2.204675162618583706e-01	8.853438414582250893e-01
3.359999999999999876e+00	2.241689851708583148e-01	8.798153633265581863e-01
3.399999999999999911e+00	2.278840381453714203e-01	8.742347931323511956e-01
3.439999999999999947e+00	2.316129951009759935e-01	8.686012253611790079e-01
3.479999999999999982e+00	2.353561874036788348e-01	8.629137209713072521e-01
3.520000000000000018e+00	2.391139584391874240e-01	8.571713057026540961e-01
3.560000000000000053e+00	2.428866642197811399e-01	8.513729682740985849e-01
3.600000000000000089e+00	2.466746740318492837e-01	8.455176584600062606e-01
3.640000000000000124e+00	2.504783711274851110e-01	8.396042850358899079e-01
3.680000000000000160e+00	2.542981534638381613e-01	8.336317135821758040e-01
3.720000000000000195e+00	2.581344344943294900e-01	8.275987641338643508e-01
3.759999999999999787e+00	2.619876440162272058e-01	8.215042086626890283e-01
3.799999999999999822e+00	2.658582290796407399e-01	8.153467683767413599e-01
3.839999999999999858e+00	2.697466549632243082e-01	8.091251108217000221e-01
3.879999999999999893e+00	2.736534062230931430e-01	8.028378467644887717e-01
3.919999999999999929e+00	2.775789878213383854e-01	7.964835268401402324e-01
3.959999999999999964e+00	2.815239263419238025e-01	7.900606379387967726e-01
